,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
450, ANDES OCCIDENTALES,COROTA,9,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0
457, CARIBE,TAYRONA,11,5,4,4,1,0,0,3,2,5,4,4,1,0,0,3,2,5,4,4,0,0,1,0,4,0,0,0,0,0,0,0,0,4,4,5,5,5,0
463, AMAZONIA,AMACAYACU,7,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
466, ANDES OCCIDENTALES,OTUN QUIMBAYA,10,1,0,1,0,0,0,0,1,1,2,1,0,1,1,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,2,0
467, ANDES NORORIENTALES,PISBA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470, AMAZONIA,AMACAYACU,5,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
471, ANDES NORORIENTALES,GUANENTA FONCE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
476, CARIBE,FLAMENCOS,6,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,3,1,1,0,0,0,0,0,2,1,3,2,3,0
477, PACIFICO,UTRIA,12,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0
480,  ORINOQUIA,CHINGAZA,7,2,2,1,1,0,0,0,1,2,2,1,1,0,0,1,1,3,2,1,1,0,1,1,1,2,2,1,1,0,1,1,2,3,3,2,3,3,0
481, PACIFICO,GORGONA,4,2,1,0,0,0,0,0,2,1,1,1,0,0,2,0,1,1,1,1,0,0,0,0,1,2,1,1,0,1,1,1,1,2,3,2,2,2,2
487, ANDES OCCIDENTALES,LOS NEVADOS,2,3,3,2,1,0,0,0,1,4,3,2,1,0,0,1,0,1,1,1,1,0,0,0,0,3,2,1,0,0,0,1,1,3,3,3,4,1,3
488, ANDES NORORIENTALES,TAMA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
493, ANDES NORORIENTALES,GUANENTA FONCE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,  ORINOQUIA,CHINGAZA,4,2,1,1,1,0,0,1,2,3,2,1,1,1,1,1,1,2,3,1,1,1,1,1,2,2,2,1,1,1,2,1,1,3,3,3,3,3,3
499, ANDES OCCIDENTALES,GALERAS,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0
500, ANDES NORORIENTALES,GUANENTA FONCE,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
502, PACIFICO,UTRIA,6,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,2,2,2,2,2,0
504, CARIBE,TAYRONA,8,5,4,4,1,0,0,3,2,5,4,5,1,0,0,3,3,5,4,5,1,0,0,4,0,5,4,5,0,0,2,3,3,5,5,5,5,5,0
510, CARIBE,FLAMENCOS,5,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,3,2,3,0
517, ANDES OCCIDENTALES,GUACHAROS,2,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,1,1,1
519, ANDES NORORIENTALES,ESTORAQUES,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
523, AMAZONIA,AMACAYACU,6,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
525, CARIBE,CORALES ROSARIO,3,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,5,5,5,5,5
534, ANDES OCCIDENTALES,GUACHAROS,7,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,2,1,1,1,0
549, ANDES NORORIENTALES,GUANENTA FONCE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550, CARIBE,CORALES ROSARIO,4,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,5,5,5,5
551, CARIBE,FLAMENCOS,10,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0
556, ANDES OCCIDENTALES,PURACE,8,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
565, ANDES NORORIENTALES,TAMA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579, CARIBE,SIERRA NEVADA DE SANTA MARTA,7,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
582, ANDES OCCIDENTALES,PURACE,12,1,0,1,1,1,1,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0
583, PACIFICO,MALPELO,7,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,2,1,0
596, CARIBE,SIERRA NEVADA DE SANTA MARTA,3,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
598, ANDES NORORIENTALES,ESTORAQUES,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
603, AMAZONIA,AMACAYACU,8,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
604, ANDES OCCIDENTALES,GALERAS,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
613, ANDES OCCIDENTALES,LOS NEVADOS,4,3,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,4,4,1,0,0,0,1,1,4,4,3,0,2,4
618, CARIBE,TAYRONA,12,5,4,4,1,0,0,4,3,5,4,4,1,0,0,4,3,5,4,4,0,4,0,4,3,0,0,0,0,0,0,0,0,5,4,5,5,5,0
626, CARIBE,CORALES ROSARIO,2,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,5
633,  ORINOQUIA,TUPARRO,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
638, ANDES NORORIENTALES,TAMA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653, ANDES OCCIDENTALES,PURACE,3,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
660, ANDES OCCIDENTALES,GUACHAROS,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,2,2,2,2,2
665, PACIFICO,MALPELO,4,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,1
700,  ORINOQUIA,TUPARRO,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
705, PACIFICO,UTRIA,4,2,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,2,1,2,2,2,2
714, ANDES NORORIENTALES,TAMA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
716, ANDES OCCIDENTALES,GALERAS,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
752,  ORINOQUIA,SUMAPAZ,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
775, ANDES NORORIENTALES,IGUAQUE,5,1,1,1,1,0,0,0,0,2,2,1,1,0,1,1,1,1,2,1,0,0,0,0,0,1,2,1,0,1,1,0,1,3,2,2,3,2,0
805, CARIBE,COLORADOS,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
806,  ORINOQUIA,CHINGAZA,8,2,2,1,1,1,1,1,1,3,1,1,1,0,0,2,1,2,2,1,1,1,1,1,0,2,2,1,1,1,1,1,2,3,3,3,3,3,0
940, CARIBE,MACUIRA,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,0
