,class,family,key,kingdom,locality,month,order,phylum,scientificname,taxonkey,year,direccion_territorial,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
48,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,RHYNCHOSPORA VAHL,2701052,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
49,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,RHYNCHOSPORA VAHL,2701052,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
50,BRYOPSIDA,RHIZOGONIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,BRYALES,BRYOPHYTA,"RHIZOGONIUM NOVAE-HOLLANDIAE BRIDEL, 1827",2676473,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
51,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,RADULA JAVANICA GOTTSCHE,7778306,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
52,BRYOPSIDA,GRIMMIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,GRIMMIALES,BRYOPHYTA,"RACOMITRIUM CUCULLATIFOLIUM HAMPE, 1863",2674286,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
53,JUNGERMANNIOPSIDA,LEJEUNEACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,RECTOLEJEUNEA BERTEROANA (GOTTSCHE EX STEPHANI) A.EVANS,2688794,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
54,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,RADULA EPISCIA SPRUCE,8426228,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
55,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,RADULACEAE,2266,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
56,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,RADULA VOLUTA TAYLOR,5710154,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
57,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,RADULACEAE,2266,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
58,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,RADULACEAE,2266,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
59,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,PORELLALES,MARCHANTIOPHYTA,RADULACEAE,2266,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
60,BRYOPSIDA,RHIZOGONIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,BRYALES,BRYOPHYTA,"PYRRHOBRYUM MNIOIDES MANUEL, 1980",2676459,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
61,JUNGERMANNIOPSIDA,RADULACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PORELLALES,MARCHANTIOPHYTA,RADULA MEXICANA LINDENB. & GOTTSCHE,7914079,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
62,BRYOPSIDA,RHIZOGONIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,BRYALES,BRYOPHYTA,"PYRRHOBRYUM SPINIFORME MITTEN, 1868",2676461,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
63,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,PTEROGONIDIUM PULCHELLUM (HOOK.) MA¼LL.HAL.,8825616,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
64,LILIOPSIDA,BROMELIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,PUYA TRIANAE BAKER,2696306,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
65,BRYOPSIDA,NECKERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,LEUCODONTALES,BRYOPHYTA,POROTRICHUM (BRID.) HAMPE,9492611,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
66,BRYOPSIDA,NECKERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,LEUCODONTALES,BRYOPHYTA,POROTRICHUM (BRID.) HAMPE,9492611,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
67,BRYOPSIDA,NECKERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,LEUCODONTALES,BRYOPHYTA,POROTRICHUM (BRID.) HAMPE,9492611,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
68,BRYOPSIDA,PRIONODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ISOBRYALES,BRYOPHYTA,PRIONODON DENSUS (HEDW.) MA¼LL.HAL.,9177403,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
69,BRYOPSIDA,PRIONODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ISOBRYALES,BRYOPHYTA,PRIONODON DENSUS (HEDW.) MA¼LL.HAL.,9177403,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
70,BRYOPSIDA,PRIONODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ISOBRYALES,BRYOPHYTA,PRIONODON DENSUS (HEDW.) MA¼LL.HAL.,9177403,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
71,BRYOPSIDA,PRIONODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ISOBRYALES,BRYOPHYTA,"PRIONODON FUSCOLUTESCENS HAMPE, 1865",5282943,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
72,BRYOPSIDA,PRIONODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ISOBRYALES,BRYOPHYTA,"PRIONODON FUSCOLUTESCENS HAMPE, 1865",5282943,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
73,BRYOPSIDA,PRIONODONTACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,ISOBRYALES,BRYOPHYTA,PRIONODONTACEAE,8758,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
74,BRYOPSIDA,POTTIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POTTIALES,BRYOPHYTA,POTTIACEAE,4671,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
75,PINOPSIDA,PODOCARPACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,PINALES,TRACHEOPHYTA,PRUMNOPITYS MONTANA (HUMB. & BONPL. EX WILLD.) DE LAUB.,2687271,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
